City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
308,santana,-0.0583,-51.1817,27.1,94,75,2.57,BR,2024-05-06
309,aver-o-mar,41.4078,-8.7812,14.58,87,0,3.09,PT,2024-05-06
310,ebon,4.582,168.6964,28.56,80,95,6.85,MH,2024-05-06
311,san patricio,28.017,-97.5169,29.4,70,39,7.42,US,2024-05-06
312,luganville,-15.5333,167.1667,26.42,69,85,5.55,VU,2024-05-06
313,glazov,58.1394,52.6584,-0.45,94,99,3.47,RU,2024-05-06
314,nakamura,32.9833,132.9333,18.68,90,100,1.87,JP,2024-05-06
315,altamont,42.2068,-121.7372,10.91,57,75,8.75,US,2024-05-06
316,barberton,-25.7884,31.0532,18.03,52,0,1.64,ZA,2024-05-06
317,kruisfontein,-34.0033,24.7314,15.06,80,1,2.34,ZA,2024-05-06
318,barra dos coqueiros,-10.9089,-37.0386,28.01,78,100,5.66,BR,2024-05-06
319,zheleznogorsk-ilimskiy,56.5768,104.1217,6.32,70,77,2.24,RU,2024-05-06
320,aykhal,66.0,111.5,0.06,97,96,9.47,RU,2024-05-06
321,vanimo,-2.6741,141.3028,27.27,87,100,0.64,PG,2024-05-06
322,nar'yan-mar,67.6713,53.087,-10.5,91,81,4.02,RU,2024-05-06
323,holualoa,19.6228,-155.9522,24.91,79,75,4.63,US,2024-05-06
324,tymovskoye,50.8456,142.655,2.51,58,47,0.85,RU,2024-05-06
325,gorno-altaysk,51.9561,85.955,5.29,81,86,0.45,RU,2024-05-06
326,saudarkrokur,65.7461,-19.6394,5.44,62,78,4.39,IS,2024-05-06
327,kas,36.2018,29.6377,17.85,35,0,1.93,TR,2024-05-06
328,manjeri,11.1167,76.1167,27.38,78,40,2.06,IN,2024-05-06
329,kharp,66.8014,65.8081,-19.05,84,33,2.65,RU,2024-05-06
330,flying fish cove,-10.4217,105.6791,25.82,94,75,5.14,CX,2024-05-06
331,necochea,-38.5473,-58.7368,11.17,72,0,4.04,AR,2024-05-06
332,fort st. john,56.2499,-120.8529,14.94,31,75,6.69,CA,2024-05-06
333,mont-laurier,46.5501,-75.4993,19.79,52,29,2.79,CA,2024-05-06
334,gaspe,48.8334,-64.4819,11.12,76,20,3.09,CA,2024-05-06
335,miyako,39.6367,141.9525,15.77,88,100,2.2,JP,2024-05-06
336,general cabrera,-32.8131,-63.8724,16.12,88,68,2.72,AR,2024-05-06
337,carboneras,37.0015,-1.9213,17.4,76,0,4.44,ES,2024-05-06
